_key	2020-11	2020-10	2020-09	2020-08	2020-07	2020-06	2020-05	2020-04	2020-03	2020-02	2020-01	2019-12	2019-11	2019-10	2019-09	2019-08	2019-07	2019-06	2019-05	2019-04	2019-03	2019-02	2019-01	2018-12	2018-11	2018-10	2018-09	2018-08	2018-07	2018-06	2018-05	2018-04	2018-03	2018-02	2018-01	2017-12	2017-11	2017-10	2017-09	2017-08	2017-07	2017-06	2017-05	2017-04	2017-03	2017-02	2017-01	2016-12	2016-11	2016-10	2016-09	2016-08	2016-07	2016-06	2016-05	2016-04	2016-03	2016-02	2016-01	2015-12	2015-11	2015-10	2015-09	2015-08	2015-07	2015-06	2015-05	2015-04	2015-03	2015-02	2015-01	2014-12	2014-11	2014-10	2014-09	2014-08	2014-07	2014-06	2014-05	2014-04	2014-03	2014-02	2014-01	2013-12	2013-11	2013-10	2013-09	2013-08	2013-07	2013-06	2013-05	2013-04	2013-03	2013-02	2013-01	2012-12	2012-11	2012-10	2012-09	2012-08	2012-07	2012-06	2012-05	2012-04	2012-03	2012-02	2012-01	2011-12	2011-11	2011-10	2011-09	2011-08	2011-07	2011-06	2011-05	2011-04	2011-03	2011-02	2011-01	2010-12	2010-11	2010-10	2010-09	2010-08	2010-07	2010-06	2010-05	2010-04	2010-03	2010-02	2010-01	2009-12	2009-11	2009-10	2009-09	2009-08	2009-07	2009-06	2009-05
purposes	3			1			1			1	1		1			1	1		1								1	1	1		3											1																		2																						1																1																																									
national	5	5	7	29	5	19	14	3	10	6	7	1	1	7	4	8	6	5	5	9	10	6	12	3	3	5	5	5	5	6	5	5	10	4	7	6	14	9	9	4	1	3	3	4	1	6	5			6	4	3	7	2	1	2	4	2	17	3	8	11	3		5	3	6	9	8	5	12	10	3	7	1	3	3	6	7	5	5	5	2	6	7		7		7	6	9	10	14	5	2	3	10	5	9	6	3	3	2	6	4	6	5	3	3	5		1		1										3															
security	5	14	8	5	6	5	4	1	6	5	6	4		5	6	2	4	6	2	7	11	13	38	40	9	2	6	6	15	20	5	8	8	4	20	2	11	1	3	10	6	9	3	2		9	3	1	1	3			2	1	2	1	1	3	1	1		3	3	1	12	1	5	2	1			6		2		1	1	2	1			1	1			1	3			1	1		1	1			1	4	4		3	3			2	4	1	2	3	3	2	1	1																										
section	2	6			1	2	2			1				1			1		1	3			1	1				1																																						1																									1							1							1																																		
must	17	23	15	13	13	13	17	9	18	8	7	12	16	19	6	15	15	11	17	22	18	10	11	9	11	13	9	13	24	20	18	16	17	15	13	4	8	5	11	9	12	4	3	1	7	3	5	4	5	8	1	3	5	10	2	2	8	4	7	11	8	4	2	11	17	9	11	15	2	7	6	12	7	6	13	4	5	14	9	1	9	2	6	5	8	13	19	10	11	8	9	12	3	12	8	11	15	17	16	15	11	6	7	5	6	8	10	6	10	6	9	6	2																										
immediately	6	11	3	6	1	3	3	3	3	3	2	4	2	5	3	2	6	8	2	3	3		1	4	1	2	3	1	3	3	2	2	1	1		1	1	1			1	1	2			1			2				1	1			2	3	1		1	1		1		1					1	1	1	6	2	2	3	1			2		2	3	1	3	1	1	1		2	4	3	2	1	1	3	5	1	2	1			3		1		1		1	3	1																											
terminated	3	3	1			2				1	2		1	1		1		1						1			1		1		1				2	2																		1																		1											1				1																																																				
twitter	4	9	2	2	1	1	9	1								1	2	1	4	2	3			2	1	1			2								1		1								1			3	3	1	1		1		3	1	1	1	1	10	2	3	2	2	2	1		1	3	2	2	1	2	4		3		1	2	2	2	2		4	7	7	2	7	9	10	3	6		3	4	5		1	3		1	2		1	1			1					1																					1			
sending	1	2	2	7		2	1	4		1	2	1			1		1	1	1	1				2	1	1		1		1		1					1					1					1			1								1	1		1				2			1		1			3	1	3		4	2	1	1			2				2		2		1	1			1	2	2			1		1		1	1			1		1	1																												
totally	5	11	12	3	8	7	11	5	5	8	8	9	6	18	10	13	12	6	3	5	8	3	7	8	1	8	5	7	7	9	3	6	1	5	3	3	2	5	5	3	4	3		1	1	3	5	2	2	5	1	3	12	8	10	3	7	11	6	8	10	8	7	1	5	3	5	2	1	3	8	1	1	4	2		1	6	2	1	3	3		2	3	6	1	2	3	3	7	4	4	3	1	3	8	2					1	1		1		2			1		2																										
